LATITUDE,LONGITUDE
3.625,38.125
3.625,38.625
3.625,39.125
3.625,39.625
4.125,37.625
4.125,38.125
4.125,38.625
4.125,39.125
4.125,39.625
4.125,40.125
4.125,41.125
4.125,41.625
4.625,36.125
4.625,36.625
4.625,37.125
4.625,37.625
4.625,38.125
4.625,38.625
4.625,39.125
4.625,39.625
4.625,40.125
4.625,40.625
4.625,41.125
4.625,41.625
4.625,42.125
4.625,42.625
5.125,36.125
5.125,36.625
5.125,37.125
5.125,37.625
5.125,38.125
5.125,38.625
5.125,39.125
5.125,39.625
5.125,40.125
5.125,40.625
5.125,41.125
5.125,41.625
5.125,42.125
5.125,42.625
5.125,43.125
5.125,43.625
5.125,44.125
5.125,44.625
5.125,45.125
5.625,35.625
5.625,36.125
5.625,36.625
5.625,37.125
5.625,37.625
5.625,38.125
5.625,38.625
5.625,39.125
5.625,39.625
5.625,40.125
5.625,40.625
5.625,41.125
5.625,41.625
5.625,42.125
5.625,42.625
5.625,43.125
5.625,43.625
5.625,44.125
5.625,44.625
5.625,45.125
5.625,45.625
6.125,35.125
6.125,35.625
6.125,36.125
6.125,36.625
6.125,37.125
6.125,37.625
6.125,38.125
6.125,38.625
6.125,39.125
6.125,39.625
6.125,40.125
6.125,40.625
6.125,41.125
6.125,41.625
6.125,42.125
6.125,42.625
6.125,43.125
6.125,43.625
6.125,44.125
6.125,44.625
6.125,45.125
6.125,45.625
6.125,46.125
6.625,35.125
6.625,35.625
6.625,36.125
6.625,36.625
6.625,37.125
6.625,37.625
6.625,38.125
6.625,38.625
6.625,39.125
6.625,39.625
6.625,40.125
6.625,40.625
6.625,41.125
6.625,41.625
6.625,42.125
6.625,42.625
6.625,43.125
6.625,43.625
6.625,44.125
6.625,44.625
6.625,45.125
6.625,45.625
6.625,46.125
6.625,46.625
7.125,34.625
7.125,35.125
7.125,35.625
7.125,36.125
7.125,36.625
7.125,37.125
7.125,37.625
7.125,38.125
7.125,38.625
7.125,39.125
7.125,39.625
7.125,40.125
7.125,40.625
7.125,41.125
7.125,41.625
7.125,42.125
7.125,42.625
7.125,43.125
7.125,43.625
7.125,44.125
7.125,44.625
7.125,45.125
7.125,45.625
7.125,46.125
7.125,46.625
7.125,47.125
7.625,34.125
7.625,34.625
7.625,35.125
7.625,35.625
7.625,36.125
7.625,36.625
7.625,37.125
7.625,37.625
7.625,38.125
7.625,38.625
7.625,39.125
7.625,39.625
7.625,40.125
7.625,40.625
7.625,41.125
7.625,41.625
7.625,42.125
7.625,42.625
7.625,43.125
7.625,43.625
7.625,44.125
7.625,44.625
7.625,45.125
7.625,45.625
7.625,46.125
7.625,46.625
7.625,47.125
8.125,33.625
8.125,34.125
8.125,34.625
8.125,35.125
8.125,35.625
8.125,36.125
8.125,36.625
8.125,37.125
8.125,37.625
8.125,38.125
8.125,38.625
8.125,39.125
8.125,39.625
8.125,40.125
8.125,40.625
8.125,41.125
8.125,41.625
8.125,42.125
8.125,42.625
8.125,43.125
8.125,43.625
8.125,44.125
8.125,44.625
8.125,45.125
8.125,45.625
8.125,46.125
8.125,46.625
8.625,34.625
8.625,35.125
8.625,35.625
8.625,36.125
8.625,36.625
8.625,37.125
8.625,37.625
8.625,38.125
8.625,38.625
8.625,39.125
8.625,39.625
8.625,40.125
8.625,40.625
8.625,41.125
8.625,41.625
8.625,42.125
8.625,42.625
8.625,43.125
8.625,43.625
8.625,44.125
8.625,44.625
9.125,34.625
9.125,35.125
9.125,35.625
9.125,36.125
9.125,36.625
9.125,37.125
9.125,37.625
9.125,38.125
9.125,38.625
9.125,39.125
9.125,39.625
9.125,40.125
9.125,40.625
9.125,41.125
9.125,41.625
9.125,42.125
9.125,42.625
9.125,43.125
9.125,43.625
9.625,34.125
9.625,34.625
9.625,35.125
9.625,35.625
9.625,36.125
9.625,36.625
9.625,37.125
9.625,37.625
9.625,38.125
9.625,38.625
9.625,39.125
9.625,39.625
9.625,40.125
9.625,40.625
9.625,41.125
9.625,41.625
9.625,42.125
9.625,42.625
9.625,43.125
10.125,34.625
10.125,35.125
10.125,35.625
10.125,36.125
10.125,36.625
10.125,37.125
10.125,37.625
10.125,38.125
10.125,38.625
10.125,39.125
10.125,39.625
10.125,40.125
10.125,40.625
10.125,41.125
10.125,41.625
10.125,42.125
10.125,42.625
10.625,34.625
10.625,35.125
10.625,35.625
10.625,36.125
10.625,36.625
10.625,37.125
10.625,37.625
10.625,38.125
10.625,38.625
10.625,39.125
10.625,39.625
10.625,40.125
10.625,40.625
10.625,41.125
10.625,41.625
10.625,42.125
10.625,42.625
11.125,35.125
11.125,35.625
11.125,36.125
11.125,36.625
11.125,37.125
11.125,37.625
11.125,38.125
11.125,38.625
11.125,39.125
11.125,39.625
11.125,40.125
11.125,40.625
11.125,41.125
11.125,41.625
11.625,35.125
11.625,35.625
11.625,36.125
11.625,36.625
11.625,37.125
11.625,37.625
11.625,38.125
11.625,38.625
11.625,39.125
11.625,39.625
11.625,40.125
11.625,40.625
11.625,41.125
11.625,41.625
12.125,35.625
12.125,36.125
12.125,36.625
12.125,37.125
12.125,37.625
12.125,38.125
12.125,38.625
12.125,39.125
12.125,39.625
12.125,40.125
12.125,40.625
12.125,41.125
12.125,41.625
12.125,42.125
12.625,36.125
12.625,36.625
12.625,37.125
12.625,37.625
12.625,38.125
12.625,38.625
12.625,39.125
12.625,39.625
12.625,40.125
12.625,40.625
12.625,41.125
12.625,41.625
12.625,42.125
13.125,36.625
13.125,37.125
13.125,37.625
13.125,38.125
13.125,38.625
13.125,39.125
13.125,39.625
13.125,40.125
13.125,40.625
13.125,41.125
13.125,41.625
13.625,36.625
13.625,37.125
13.625,37.625
13.625,38.125
13.625,38.625
13.625,39.125
13.625,39.625
13.625,40.125
13.625,40.625
13.625,41.125
14.125,36.625
14.125,37.125
14.125,37.625
14.125,38.125
14.125,38.625
14.125,39.125
14.125,39.625
14.125,40.125
14.125,40.625
14.625,38.125

