LATITUDE,LONGITUDE
6.625,34.875
6.625,35.125
6.875,34.625
6.875,34.875
7.125,34.375
7.125,34.625
7.125,34.875
7.125,35.125
7.375,34.125
7.375,34.375
7.375,34.625
7.375,34.875
7.375,35.125
7.375,35.375
7.625,33.875
7.625,34.125
7.625,34.375
7.625,34.625
7.625,34.875
7.625,35.125
7.875,33.125
7.875,33.375
7.875,33.625
7.875,33.875
7.875,34.125
7.875,34.375
7.875,34.625
7.875,34.875
8.125,33.375
8.125,33.625
8.125,33.875
8.125,34.125
8.125,34.375
8.125,34.625
8.125,34.875
8.375,33.375
8.375,33.625
8.375,33.875
8.375,34.125
8.375,34.625

